execute /home/pei/Project/benchmarks/imdb_job-postgres/queries/10a.sql
151,1378
315,2339
152,1876
260,2359
236,1580
150,1229
224,1414
149,1224
152,1227
150,1227
152,1221
151,1224
152,1225
152,1224
151,1224
execute /home/pei/Project/benchmarks/imdb_job-postgres/queries/10b.sql
140,1108
139,1168
142,1103
140,1102
140,1110
155,1110
140,1103
141,1105
140,1106
140,1104
140,1106
141,1103
140,1115
140,1104
140,1109
execute /home/pei/Project/benchmarks/imdb_job-postgres/queries/10c.sql
296,1819
302,1831
300,1827
300,1764
303,1795
305,1817
300,1834
302,1811
301,1827
299,1786
307,1831
302,1810
302,3353
297,3388
304,1774
execute /home/pei/Project/benchmarks/imdb_job-postgres/queries/11a.sql
1,124,38,125
1,124,37,124
1,122,37,124
1,123,37,125
1,121,37,124
1,123,38,124
1,122,37,124
1,122,37,124
1,121,37,124
1,122,37,125
1,121,43,124
1,122,37,124
1,124,37,124
1,123,37,124
1,122,37,125
execute /home/pei/Project/benchmarks/imdb_job-postgres/queries/11b.sql
1,110,33,108
1,112,33,107
1,110,33,108
1,111,33,108
1,110,32,107
1,111,33,107
1,110,32,108
1,111,33,107
1,112,32,108
1,111,33,107
1,110,32,108
1,111,33,107
1,111,32,108
1,111,33,107
1,112,32,108
execute /home/pei/Project/benchmarks/imdb_job-postgres/queries/11c.sql
1,126,74,297
1,127,76,298
1,125,72,301
1,126,75,298
1,125,89,299
1,126,75,298
1,131,72,301
1,126,75,295
1,125,73,299
1,126,75,297
1,128,74,298
1,127,72,336
1,125,74,295
1,127,75,298
1,125,72,297
execute /home/pei/Project/benchmarks/imdb_job-postgres/queries/11d.sql
1,128,179,419
1,126,179,357
1,124,189,365
1,127,178,353
1,124,189,364
1,127,178,343
1,125,189,374
1,127,179,357
1,124,178,366
1,126,179,342
1,124,179,372
1,126,178,359
1,127,177,338
1,124,189,698
1,229,337,544
execute /home/pei/Project/benchmarks/imdb_job-postgres/queries/12a.sql
61,241,180,1133
61,236,193,1505
61,240,179,1677
31,132,98,895
31,131,97,898
31,130,96,897
31,130,102,893
31,132,100,892
31,130,102,894
31,130,97,896
31,131,102,895
31,130,100,894
31,131,100,892
31,132,96,889
31,130,100,889
execute /home/pei/Project/benchmarks/imdb_job-postgres/queries/12b.sql
7,145,30,826
8,146,31,819
7,145,31,820
8,146,31,818
7,145,31,820
8,146,31,819
8,145,31,838
8,146,30,819
8,145,31,820
8,147,31,828
7,144,30,817
8,146,31,819
8,146,31,821
8,146,31,817
7,145,31,816
execute /home/pei/Project/benchmarks/imdb_job-postgres/queries/12c.sql
33,216,176,1107
34,227,176,1149
34,226,177,1113
34,226,177,1114
34,226,176,1116
34,226,177,1115
34,214,176,1113
34,214,177,2175
65,408,172,1790
69,408,298,2123
34,216,176,1104
34,228,176,1101
34,216,177,1115
34,230,177,1152
34,216,175,1116
execute /home/pei/Project/benchmarks/imdb_job-postgres/queries/13a.sql
35,225,40,1068
35,226,40,1062
34,215,39,1071
35,219,39,1068
35,217,40,1073
35,218,39,1069
35,227,40,1070
35,227,41,1070
35,215,39,1069
36,226,40,1071
34,215,40,1068
36,226,40,1064
35,215,40,1069
35,226,40,1726
72,387,42,1635
execute /home/pei/Project/benchmarks/imdb_job-postgres/queries/13b.sql
35,354,96,732
71,267,81,811
35,184,51,358
35,183,50,357
35,183,51,357
35,183,50,357
34,184,51,357
35,182,50,383
35,184,50,358
35,182,50,360
34,184,51,357
35,184,50,357
34,185,51,357
35,184,51,359
34,184,51,358
execute /home/pei/Project/benchmarks/imdb_job-postgres/queries/13c.sql
35,138,41,296
35,137,41,294
35,137,41,296
34,138,42,306
34,137,41,295
35,137,49,676
60,260,68,583
68,161,43,311
34,259,77,500
35,283,88,597
66,240,42,610
69,137,42,312
35,139,41,311
34,262,55,313
35,137,41,295
execute /home/pei/Project/benchmarks/imdb_job-postgres/queries/13d.sql
34,226,185,695
35,227,186,683
35,231,186,709
35,215,184,696
35,226,185,706
35,215,179,698
35,226,187,711
35,226,184,725
35,230,180,704
35,220,182,698
35,230,178,692
35,226,187,716
35,225,186,713
35,223,195,705
35,230,184,711
execute /home/pei/Project/benchmarks/imdb_job-postgres/queries/14a.sql
36,141,36,1031
36,139,36,1030
36,141,36,1027
36,139,36,1026
36,140,36,1025
36,138,36,1031
36,141,36,1031
36,139,36,1045
36,315,77,1954
69,146,54,1757
69,253,68,1983
36,140,35,1028
36,140,36,1026
36,139,36,1027
37,142,36,1031
execute /home/pei/Project/benchmarks/imdb_job-postgres/queries/14b.sql
36,135,45,1021
35,135,46,1023
36,137,46,1022
36,135,45,1020
35,135,46,1019
36,135,46,1021
36,136,46,1022
36,135,45,1019
36,136,46,1023
36,135,45,1021
36,136,46,1028
36,134,46,1020
36,136,46,1022
36,135,46,1020
36,135,46,1022
execute /home/pei/Project/benchmarks/imdb_job-postgres/queries/14c.sql
36,247,41,1141
36,246,38,1135
36,324,85,2200
69,337,87,2057
78,417,97,1428
36,245,42,1147
37,248,42,1142
37,254,43,1160
36,249,42,1149
37,249,42,1144
37,231,45,1158
36,243,43,1158
37,248,41,1149
36,245,42,1142
36,250,42,1151
execute /home/pei/Project/benchmarks/imdb_job-postgres/queries/15a.sql
182,123,118,1072
180,121,118,1064
178,121,118,1091
181,122,116,1067
183,122,118,1078
180,122,117,1084
181,121,117,1073
175,122,116,1068
179,123,116,1100
176,122,116,1098
182,122,117,1061
180,123,116,1080
179,121,119,1064
179,122,116,1075
180,122,118,1091
execute /home/pei/Project/benchmarks/imdb_job-postgres/queries/15b.sql
171,119,43,944
165,117,43,940
168,118,43,954
169,117,42,951
169,116,44,953
168,118,43,942
166,117,43,944
165,118,42,954
166,117,43,948
165,117,43,941
169,117,43,960
165,117,43,975
297,252,82,1767
309,119,43,1378
267,179,94,1768
execute /home/pei/Project/benchmarks/imdb_job-postgres/queries/15c.sql
332,408,763,3514
333,197,1148,2227
192,158,752,2167
192,159,758,2189
191,158,746,2183
191,159,759,2251
190,162,758,2172
186,163,747,2210
187,160,757,3803
186,312,1190,2273
187,160,759,2180
187,159,761,2188
191,161,757,2210
190,158,757,2240
191,160,762,2181
