PreOptimize, final-PostOptimize, final-CreatePlan, Execute
execute /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_wo_multi_block/1/query050_spj/query050_spj_0.sql
1, 0, 0, 21228
0, 0, 0, 21222
1, 0, 0, 21246
1, 0, 0, 21218
1, 0, 0, 21228
1, 0, 0, 21213
1, 0, 0, 21254
1, 0, 0, 21329
1, 0, 0, 21277
1, 0, 0, 21244
1, 0, 0, 21305
1, 0, 0, 21244
1, 0, 0, 21219
1, 0, 0, 21244
1, 0, 0, 21291
execute /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_wo_multi_block/1/query099/query099_0.sql
1, 0, 0, 6
1, 0, 0, 6
1, 1, 0, 6
1, 0, 0, 6
1, 1, 0, 6
1, 0, 0, 6
1, 1, 0, 6
1, 0, 0, 6
1, 1, 0, 6
1, 0, 0, 6
1, 0, 0, 6
1, 0, 0, 6
1, 1, 0, 6
1, 0, 0, 6
1, 1, 0, 6
execute /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_wo_multi_block/1/query019/query019_0.sql
1, 0, 0, 15092
1, 0, 0, 14733
1, 0, 0, 14672
1, 0, 0, 14649
1, 0, 0, 14671
1, 0, 0, 14852
1, 0, 0, 14657
1, 0, 0, 14680
1, 0, 0, 14658
1, 0, 0, 14653
1, 0, 0, 14690
1, 0, 0, 14913
1, 0, 0, 14641
1, 0, 0, 14624
1, 0, 0, 14734
execute /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_wo_multi_block/1/query101_spj/query101_spj_0.sql
5, 1, 0, 74
5, 0, 0, 74
5, 1, 0, 74
5, 0, 0, 74
5, 1, 0, 74
5, 0, 0, 74
5, 1, 0, 74
5, 1, 0, 74
5, 1, 0, 74
6, 1, 0, 78
5, 1, 0, 74
5, 0, 0, 74
5, 1, 0, 74
5, 1, 0, 74
5, 1, 0, 74
execute /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_wo_multi_block/1/query072_spj/query072_spj_0.sql
4, 0, 0, 75
4, 0, 0, 75
4, 0, 0, 75
4, 0, 0, 75
4, 0, 0, 75
5, 0, 0, 75
4, 0, 0, 75
4, 0, 0, 75
4, 0, 0, 75
4, 0, 0, 75
4, 0, 0, 75
4, 0, 0, 75
4, 0, 0, 75
5, 0, 0, 75
4, 0, 0, 75
execute /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_wo_multi_block/1/query102/query102_0.sql
45, 1, 0, 51
45, 1, 0, 51
45, 1, 0, 51
45, 1, 0, 51
45, 1, 0, 51
45, 1, 0, 51
45, 1, 0, 51
45, 1, 0, 51
45, 1, 0, 51
45, 1, 0, 51
45, 1, 0, 51
45, 1, 0, 51
45, 1, 0, 52
45, 1, 0, 52
45, 1, 0, 51
execute /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_wo_multi_block/1/query102_spj/query102_spj_0.sql
46, 0, 0, 55
45, 0, 0, 55
45, 0, 0, 55
45, 0, 0, 54
45, 0, 0, 55
45, 0, 0, 55
45, 0, 0, 55
45, 0, 0, 54
45, 0, 0, 55
46, 0, 0, 55
45, 0, 0, 55
46, 0, 0, 54
45, 0, 0, 55
44, 0, 0, 54
46, 2, 0, 55
execute /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_wo_multi_block/1/query040_spj/query040_spj_0.sql
0, 0, 0, 446
0, 0, 0, 449
0, 0, 0, 450
0, 0, 0, 449
0, 0, 0, 451
0, 0, 0, 450
0, 0, 0, 450
0, 0, 0, 451
0, 0, 0, 450
0, 0, 0, 450
0, 0, 0, 453
0, 0, 0, 458
0, 0, 0, 450
0, 0, 0, 450
0, 0, 0, 450
execute /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_wo_multi_block/1/query027_spj/query027_spj_0.sql
0, 0, 0, 28
0, 0, 0, 28
0, 0, 0, 28
0, 0, 0, 28
0, 0, 0, 28
0, 0, 0, 28
0, 0, 0, 28
0, 0, 0, 28
0, 0, 0, 28
0, 0, 0, 28
0, 0, 0, 28
0, 0, 0, 28
0, 0, 0, 28
0, 0, 0, 28
0, 0, 0, 28
execute /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_wo_multi_block/1/query040/query040_0.sql
1, 0, 0, 623
1, 0, 0, 627
0, 0, 0, 621
0, 0, 0, 621
0, 0, 0, 622
0, 0, 0, 615
0, 0, 0, 621
0, 0, 0, 630
1, 0, 0, 626
0, 0, 0, 621
0, 0, 0, 621
0, 0, 0, 624
1, 0, 0, 620
0, 0, 0, 624
1, 0, 0, 621
execute /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_wo_multi_block/1/query085/query085_0.sql
2, 0, 0, 7272
2, 0, 0, 7231
2, 0, 0, 7236
2, 0, 0, 7974
2, 0, 0, 7360
2, 0, 0, 7839
2, 0, 0, 7140
2, 0, 0, 7246
2, 0, 0, 7307
2, 0, 0, 7319
2, 0, 0, 7258
2, 0, 0, 7306
2, 0, 0, 7312
2, 0, 0, 7315
2, 0, 0, 7242
execute /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_wo_multi_block/1/query013_spj/query013_spj_0.sql
1, 0, 0, 163
1, 0, 0, 163
1, 0, 0, 163
1, 1, 0, 163
1, 0, 0, 164
1, 0, 0, 163
1, 0, 0, 163
1, 0, 0, 163
1, 0, 0, 163
1, 0, 0, 163
1, 0, 0, 163
1, 0, 0, 163
1, 0, 0, 163
1, 0, 0, 164
1, 0, 0, 163
execute /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_wo_multi_block/1/query025_spj/query025_spj_0.sql
2, 0, 0, 14893
2, 0, 0, 14846
2, 0, 0, 14768
2, 0, 0, 14900
2, 0, 0, 14853
2, 0, 0, 14930
2, 0, 0, 14859
2, 1, 0, 14606
2, 0, 0, 14857
2, 0, 0, 14860
2, 0, 0, 14910
2, 0, 0, 14941
2, 0, 0, 14864
2, 0, 0, 14826
2, 0, 0, 14853
execute /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_wo_multi_block/1/query018_spj/query018_spj_0.sql
1, 0, 0, 8334
1, 0, 0, 8401
1, 1, 0, 8406
1, 0, 0, 8341
1, 0, 0, 8383
1, 0, 0, 8347
1, 0, 0, 8394
1, 0, 0, 8347
1, 0, 0, 8443
1, 0, 0, 8341
1, 0, 0, 8425
1, 0, 0, 8341
1, 0, 0, 8422
1, 0, 0, 8368
1, 0, 0, 8351
execute /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_wo_multi_block/1/query100_spj/query100_spj_0.sql
2, 0, 0, 35
2, 0, 0, 35
2, 0, 0, 35
2, 0, 0, 35
2, 0, 0, 35
2, 0, 0, 35
2, 0, 0, 35
2, 0, 0, 35
2, 0, 0, 35
2, 0, 0, 35
2, 0, 0, 35
2, 0, 0, 35
2, 0, 0, 35
2, 0, 0, 35
2, 0, 0, 35
execute /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_wo_multi_block/1/query025/query025_0.sql
2, 0, 0, 14509
2, 0, 0, 14523
2, 0, 0, 14551
2, 0, 0, 14524
2, 0, 0, 14515
2, 0, 0, 14536
2, 0, 0, 14532
2, 0, 0, 14514
2, 0, 0, 15114
2, 0, 0, 14522
2, 0, 0, 14538
2, 0, 0, 14509
2, 0, 0, 14528
2, 0, 0, 14577
2, 0, 0, 14536
execute /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_wo_multi_block/1/query091_spj/query091_spj_0.sql
1, 0, 0, 157
1, 0, 0, 156
1, 0, 0, 157
1, 0, 0, 156
1, 0, 0, 157
1, 0, 0, 156
1, 0, 0, 156
1, 0, 0, 158
1, 0, 0, 156
1, 0, 0, 156
1, 0, 0, 156
1, 0, 0, 157
1, 0, 0, 156
1, 0, 0, 157
1, 0, 0, 158
execute /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_wo_multi_block/1/query050/query050_0.sql
1, 0, 0, 324034
1, 0, 0, 357819
1, 0, 0, 337164
1, 0, 0, 358142
1, 0, 0, 362213
1, 0, 0, 336702
1, 0, 0, 338538
1, 0, 0, 333406
1, 0, 0, 333045
1, 0, 0, 357562
1, 0, 0, 355890
1, 0, 0, 362060
1, 0, 0, 360470
1, 0, 0, 355990
1, 0, 0, 356642
execute /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_wo_multi_block/1/query085_spj/query085_spj_0.sql
2, 0, 0, 7186
2, 0, 0, 7208
2, 0, 0, 7173
2, 0, 0, 7173
2, 0, 0, 7169
2, 0, 0, 7251
2, 0, 0, 7164
2, 0, 0, 7168
2, 0, 0, 7178
2, 0, 0, 7177
2, 0, 0, 7175
2, 0, 0, 7170
2, 0, 0, 7217
2, 0, 0, 7168
2, 0, 0, 7275
execute /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_wo_multi_block/1/query013/query013_0.sql
1, 0, 0, 163
1, 0, 0, 162
1, 0, 0, 162
1, 0, 0, 162
1, 0, 0, 162
1, 0, 0, 162
1, 0, 0, 162
1, 0, 0, 163
1, 0, 0, 163
1, 0, 0, 163
1, 0, 0, 163
1, 0, 0, 163
1, 0, 0, 164
1, 1, 0, 163
1, 0, 0, 163
execute /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_wo_multi_block/1/query091/query091_0.sql
1, 0, 0, 156
1, 0, 0, 155
1, 0, 0, 156
1, 0, 0, 155
1, 0, 0, 156
1, 0, 0, 157
1, 0, 0, 156
1, 0, 0, 157
1, 0, 0, 156
1, 0, 0, 156
1, 0, 0, 156
1, 0, 0, 156
1, 0, 0, 155
1, 0, 0, 156
1, 0, 0, 157
execute /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_wo_multi_block/1/query101/query101_0.sql
5, 0, 0, 80
5, 1, 0, 79
5, 0, 0, 79
5, 0, 0, 79
5, 0, 0, 79
5, 0, 0, 79
5, 0, 0, 79
5, 0, 0, 79
5, 0, 0, 79
5, 0, 0, 79
5, 0, 0, 80
5, 0, 0, 79
5, 0, 0, 79
5, 0, 0, 79
5, 0, 0, 79
execute /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_wo_multi_block/1/query084/query084_0.sql
0, 0, 0, 1759
0, 0, 0, 1766
0, 0, 0, 1766
0, 0, 0, 1762
0, 0, 0, 1781
0, 0, 0, 1774
0, 0, 0, 1772
0, 0, 0, 1757
0, 0, 0, 1777
0, 0, 0, 1776
0, 0, 0, 1766
0, 0, 0, 1779
0, 0, 0, 1762
0, 0, 0, 1775
0, 0, 0, 1776
execute /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_wo_multi_block/1/query084_spj/query084_spj_0.sql
0, 0, 0, 2334
0, 0, 0, 2329
0, 0, 0, 2325
0, 0, 0, 2313
0, 0, 0, 2327
0, 0, 0, 2317
0, 0, 0, 2320
0, 0, 0, 2322
0, 0, 0, 2333
0, 0, 0, 2321
0, 0, 0, 2333
0, 0, 0, 2320
0, 0, 0, 2321
0, 0, 0, 2331
0, 0, 0, 2299
execute /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_wo_multi_block/1/query019_spj/query019_spj_0.sql
1, 0, 0, 14681
1, 0, 0, 14676
1, 0, 0, 14695
1, 0, 0, 14723
1, 0, 0, 14815
1, 0, 0, 14842
1, 0, 0, 14657
1, 0, 0, 14691
1, 0, 0, 14651
1, 0, 0, 14681
1, 0, 0, 14692
1, 0, 0, 14661
1, 0, 0, 14869
1, 0, 0, 14680
1, 0, 0, 14856
execute /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_wo_multi_block/1/query027/query027_0.sql
0, 0, 0, 28
0, 0, 0, 28
0, 0, 0, 28
0, 0, 0, 28
0, 0, 0, 28
0, 0, 0, 28
0, 0, 0, 28
0, 0, 0, 28
0, 0, 0, 28
0, 0, 0, 28
0, 0, 0, 28
0, 0, 0, 28
0, 0, 0, 28
0, 0, 0, 28
0, 0, 0, 28
execute /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_wo_multi_block/1/query018/query018_0.sql
1, 0, 0, 8526
1, 0, 0, 8361
1, 0, 0, 8406
1, 0, 0, 8315
1, 0, 0, 8335
1, 0, 0, 8336
1, 0, 0, 8500
1, 0, 0, 8344
1, 0, 0, 8373
1, 0, 0, 8323
1, 0, 0, 8308
1, 0, 0, 8376
1, 0, 0, 8354
1, 0, 0, 8410
1, 0, 0, 8326
execute /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_wo_multi_block/1/query099_spj/query099_spj_0.sql
0, 0, 0, 6
0, 0, 0, 6
0, 0, 0, 6
0, 0, 0, 6
0, 0, 0, 6
0, 0, 0, 6
0, 0, 0, 6
0, 0, 0, 6
0, 0, 0, 6
0, 0, 0, 6
0, 0, 0, 6
0, 0, 0, 6
0, 0, 0, 6
0, 0, 0, 6
0, 0, 0, 6
execute /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_wo_multi_block/1/query100/query100_0.sql
2, 0, 0, 35
2, 0, 0, 35
2, 0, 0, 35
2, 0, 0, 35
2, 0, 0, 35
2, 0, 0, 35
2, 0, 0, 35
2, 0, 0, 35
2, 0, 0, 35
2, 0, 0, 35
2, 0, 0, 35
2, 0, 0, 35
2, 0, 0, 35
2, 0, 0, 35
2, 0, 0, 35
execute /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_wo_multi_block/2/query050_spj/query050_spj_0.sql
1, 0, 0, 21294
0, 0, 0, 21266
0, 0, 0, 21294
0, 0, 0, 21250
1, 0, 0, 21284
0, 0, 0, 21313
1, 0, 0, 21288
1, 0, 0, 21246
1, 0, 0, 21266
1, 0, 0, 21242
1, 0, 0, 21322
0, 0, 0, 21257
1, 0, 0, 21364
0, 0, 0, 21268
0, 0, 0, 21265
execute /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_wo_multi_block/2/query099/query099_0.sql
1, 0, 0, 6
1, 0, 0, 6
1, 0, 0, 6
1, 0, 0, 6
1, 0, 0, 6
1, 0, 0, 6
1, 0, 0, 6
1, 0, 0, 6
1, 0, 0, 6
1, 0, 0, 6
1, 0, 0, 6
1, 0, 0, 6
1, 0, 0, 6
1, 0, 0, 6
1, 0, 0, 6
execute /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_wo_multi_block/2/query019/query019_0.sql
1, 0, 0, 14695
1, 0, 0, 14840
1, 0, 0, 14655
1, 0, 0, 14682
1, 0, 0, 14854
1, 0, 0, 14659
1, 0, 0, 14895
1, 0, 0, 14772
1, 0, 0, 14728
1, 0, 0, 14647
1, 0, 0, 14704
1, 0, 0, 14643
1, 0, 0, 14649
1, 0, 0, 14671
1, 0, 0, 14666
execute /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_wo_multi_block/2/query101_spj/query101_spj_0.sql
5, 0, 0, 74
5, 0, 0, 74
5, 0, 0, 74
5, 0, 0, 74
5, 0, 0, 73
6, 0, 0, 74
5, 0, 0, 74
5, 0, 0, 74
5, 0, 0, 73
5, 0, 0, 74
5, 0, 0, 73
5, 0, 0, 74
5, 0, 0, 74
5, 0, 0, 74
5, 0, 0, 74
execute /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_wo_multi_block/2/query072_spj/query072_spj_0.sql
4, 0, 0, 75
4, 0, 0, 75
4, 0, 0, 75
4, 0, 0, 75
4, 0, 0, 76
5, 0, 0, 75
4, 0, 0, 75
4, 0, 0, 75
4, 0, 0, 75
4, 0, 0, 75
4, 0, 0, 75
4, 0, 0, 75
4, 0, 0, 75
4, 0, 0, 75
4, 0, 0, 75
execute /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_wo_multi_block/2/query102/query102_0.sql
45, 1, 0, 51
46, 1, 0, 51
45, 1, 0, 51
45, 1, 0, 52
45, 1, 0, 51
45, 1, 0, 52
45, 1, 0, 51
45, 1, 0, 51
46, 1, 0, 51
45, 1, 0, 51
45, 1, 0, 51
46, 1, 0, 51
45, 1, 0, 51
45, 1, 0, 51
44, 1, 0, 51
execute /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_wo_multi_block/2/query102_spj/query102_spj_0.sql
45, 0, 0, 55
45, 0, 0, 55
45, 0, 0, 55
45, 0, 0, 55
45, 0, 0, 55
45, 0, 0, 55
45, 0, 0, 55
45, 0, 0, 55
45, 0, 0, 55
45, 0, 0, 55
45, 0, 0, 55
45, 0, 0, 55
45, 0, 0, 54
46, 0, 0, 55
46, 0, 0, 55
execute /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_wo_multi_block/2/query040_spj/query040_spj_0.sql
0, 0, 0, 444
0, 0, 0, 449
0, 0, 0, 448
0, 0, 0, 459
0, 0, 0, 450
0, 0, 0, 449
0, 0, 0, 455
0, 0, 0, 450
0, 0, 0, 449
0, 0, 0, 452
0, 0, 0, 449
0, 0, 0, 450
0, 0, 0, 456
0, 0, 0, 449
0, 0, 0, 452
execute /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_wo_multi_block/2/query027_spj/query027_spj_0.sql
0, 0, 0, 28
0, 0, 0, 28
0, 0, 0, 28
0, 0, 0, 28
0, 0, 0, 28
0, 0, 0, 28
0, 0, 0, 28
0, 0, 0, 28
0, 0, 0, 28
0, 0, 0, 28
0, 0, 0, 28
0, 0, 0, 28
0, 0, 0, 28
0, 0, 0, 28
0, 0, 0, 28
execute /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_wo_multi_block/2/query040/query040_0.sql
1, 5, 0, 614
1, 0, 0, 619
0, 0, 0, 620
0, 0, 0, 621
1, 0, 0, 618
1, 0, 0, 627
0, 0, 0, 619
0, 0, 0, 622
0, 0, 0, 621
0, 0, 0, 622
0, 0, 0, 619
0, 0, 0, 621
0, 0, 0, 619
1, 0, 0, 622
0, 0, 0, 619
execute /home/pei/Project/benchmarks/dsb-postgres/code/tools/1_instance_out_wo_multi_block/2/query085/query085_0.sql
2, 0, 0, 7916
2, 0, 0, 7343
3, 0, 0, 7267
2, 0, 0, 7329
2, 0, 0, 7323
2, 0, 0, 7332
2, 0, 0, 7272
2, 0, 0, 7256
2, 0, 0, 7320
2, 0, 0, 7284
2, 0, 0, 7262
